sfx2,width,E2,focus,rule_of_thirds,mag4,rank_sum,sfy2,E3,sfx3,smiles,sfy1,height,sfx1,green_m2,F4,ufx1,blue_m4,rg2,ufy3,shackiness
0.0438359,1280,0.391452,0.679723,0,0.0247266,0.06,0.0186798,-0.124436,-0.0233232,0,0.00468174,720,0.00172297,0.248567,0.0114601,0.0281186,-0.00276084,0.182964,0.125586,0.0557015
0.175184,1280,0.372263,0.570283,0.0339203,0.00287971,0.0749251,0.266761,-0.13987,0.00748359,0,0.0244224,720,0.000459757,0.163774,0.0660332,0.118138,0.0042753,0.216077,0.0417142,0.0848048
0.253159,1280,0.133711,0.140092,0,0.0052089,0.0749251,0.110263,-0.084948,0.0104552,0,-0.00227558,720,0.0122801,0.205532,0.0270305,0.137274,-0.00418477,0.1678,0.0377298,0.0543618
0.207127,1280,0.0847649,0.27425,0.00798391,0.00262648,0.0749251,0.149139,-0.00855622,0.00394333,0,-0.00280296,720,0.00751233,0.085243,-0.000850175,0.162126,0.00914496,0.264547,0.0415738,0.077193
0.320221,1280,0.140995,0.862361,0.00523375,0.00102401,0.0749251,0.296048,-0.319645,-0.00358233,0.00181752,0.0131233,720,-0.00977847,0.0954228,-0.00189051,0.233081,0.0269441,0.237878,0.0267411,0.0906943
0.0226358,1280,0.339198,0.0947741,0.0108323,0.0850412,0.0749251,0.0819004,-0.0670698,0.024853,0.00249808,0.00327285,720,0.000243639,0.131181,-0.000901784,0.015949,-0.000269262,0.17131,0.148571,0.0536126
0.354112,1280,0.439871,0.582222,0.0222571,0.000236132,0.06,0.288523,-0.0936623,0.00336562,0.00534045,0.0319015,720,0.0555426,0.205423,-0.00243722,0.270637,-0.00360274,0.226185,0.0173724,0.106809
0.066085,640,0.250057,0.154026,0.0242866,0.00544225,0.0625,0.0362767,-0.0969153,-0.00185034,0.00179412,0.00111336,352,0.00149537,0.0563533,0.0436234,0.0507806,0.0716106,0.177379,0.0605859,0.0948643
0.166227,1280,0.0465317,0.138561,0,0.000813363,0.075,0.0295462,0.0362906,-0.00460505,0,-0.00125819,720,0.0254674,0.0260413,-0.0033062,0.112746,0.00176731,0.254628,0.0371236,0.0843653
0.110133,1280,0.273075,0.371651,0.0085254,0.00259771,0.0749251,0.111406,-0.192086,0.0141715,0.00465572,0.016548,720,0.000875049,0.192235,0.0208572,0.0544025,-0.000919884,0.241292,0.0304843,0.0615045
0.00892151,640,0.0795404,0.445604,0.000647329,0.00144759,0.075,0.00493767,-0.0723584,0.00231411,0,-0.00178687,360,-0.00111398,0.0997742,-0.00107227,0.0130881,-0.00223829,0.23909,0.010239,0.0687787
0.127422,1280,0.261536,0.460369,0.0135608,0.00385688,0.0749251,0.165806,-0.211502,-0.0108337,0.00381422,0.0128469,720,-0.00723307,0.120622,0.0152226,0.0892289,0.0358374,0.232626,0.0394562,0.0823424
0.130841,1280,0.325056,0.251377,0.0173345,0.0019034,0.0625,0.110067,-0.148115,0.00240302,0.00113058,0.0296215,720,-0.0253053,0.16716,0.007916,0.132924,0.000391976,0.175015,0.0296518,0.105709
0.304929,1280,0.242007,0.459293,0.0125557,0.00287629,0.0749251,0.387386,-0.216984,-0.0121483,0.0146252,0.0863165,720,-0.00335438,0.163289,0.0227911,0.223994,0.00526316,0.257194,0.0304939,0.0919063
0.024466,1280,0.501111,0.488803,0,0.0627822,0.0749251,0.0129411,-0.0867773,-0.00478421,0,0.00048184,720,0.00039367,0.138796,0.00427463,0.0215323,0.000630053,0.260909,0.107134,0.0753345
0.0500436,1280,0.0896142,0.405197,0.0626513,0.00726872,0.0749251,0.157331,-0.743175,0.000257576,0.00456871,-0.00454611,720,0.000488047,0.04838,0.0249073,0.0448761,0.230899,0.224878,0.0437612,0.0853436
